id,name,lat,lon,region,source,widget_url_oleaje,widget_url_viento,widget_url_corriente,widget_url_marea
bimep-oeste,Bimep Oeste,43.46,-2.92,BiMEP,Portus,"https://portus.puertos.es/PortusData/predChart?code=3159035&modelo=portus&var=Hm0,Tm02&dirVar=MeanDir180&int=default&locale=es","https://portus.puertos.es/PortusData/predChart?code=3158035&modelo=portus&var=WindSpeed&dirVar=WindDir180&int=default&locale=es","https://portus.puertos.es/PortusData/predChart?code=3158035&modelo=portus&var=CurrentSpeed&dirVar=CurrentDir&int=default&locale=es","https://portus.puertos.es/PortusData/nivmarChart?code=31113&modelo=undefined&var=SeaLevel,SeaSea&int=default&locale=es"
bimep-este,Bimep Este,43.46,-2.88,BiMEP,Portus,"https://portus.puertos.es/PortusData/predChart?code=3159035&modelo=portus&var=Hm0,Tm02&dirVar=MeanDir180&int=default&locale=es","https://portus.puertos.es/PortusData/predChart?code=3158035&modelo=portus&var=WindSpeed&dirVar=WindDir180&int=default&locale=es","https://portus.puertos.es/PortusData/predChart?code=3158035&modelo=portus&var=CurrentSpeed&dirVar=CurrentDir&int=default&locale=es","https://portus.puertos.es/PortusData/nivmarChart?code=31113&modelo=undefined&var=SeaLevel,SeaSea&int=default&locale=es"
